,actor_list,audiance,director_list,duration,genres,name,open_day,story_header,watch_grade,troll,image,actors
50,임슬옹|경수진|박정민|홍은희|차지연|김수안|정용진|이재인,70661,민규동|김곡|백승빈|김선,93.0,[0],무서운 이야기 3 : 화성에서 온 소녀,20160601,,15세이상관람가,128,https://movie-phinf.pstatic.net/20160517_223/1463466235482mTgbp_JPEG/movie_image.jpg,"[115, 116, 117, 118, 119, 95]"
51,하정우|이선균|제니퍼 엘|이상원,1665200,김병우,124.0,[4],PMC: 더 벙커,20181226,"“전쟁도 비즈니스다”
글로벌 군사기업 PMC, 미션 스타트!",15세이상관람가,127,https://movie-phinf.pstatic.net/20181205_284/1543974277191S4IrC_JPEG/movie_image.jpg,"[24, 6]"
52,이시영|박세완|이준혁|최진호,172338,임경택,93.0,[4],언니,20190101,,청소년관람불가,125,https://movie-phinf.pstatic.net/20181231_89/1546223246597LMiMi_JPEG/movie_image.jpg,"[25, 26, 27, 28]"
53,이민기|김고은|안서현|윤진하|박병은|김뢰하|김부선|이현빈|이현우|손종규|전종석|정수환|차국빈|이도연|최대웅|최성겸|허준석|이용희|남경읍|김선영|배성우|유재명|조복래,522199,황인호,113.0,[10],몬스터,20140313,,청소년관람불가,125,https://movie-phinf.pstatic.net/20140214_80/1392341850867mN5nJ_JPEG/movie_image.jpg,"[181, 156, 182]"
54,강동원|이연희|공효진|채호기|이세련|서동수,403405,이명세,110.0,"[5, 18, 10]",엠,20071025,내가 사랑한 당신의 이름 (M) | 당신의 첫사랑이 돌아온다 | 내가 사랑한 당신의 이름 | 나는 나중에... 당신이 아주 많이 많이 슬퍼했으면 좋겠어 | 그냥... 사랑한다고 말해줄 순 없니?,15세이상관람가,124,https://movie-phinf.pstatic.net/20111223_172/1324575440195Kmuqi_JPEG/movie_image.jpg,"[56, 319, 21]"
55,주원|유해진|이유영|류혜영|서현우|이준혁|윤석진|김민서|김현정|박지윤|장인섭|윤다경|진용욱|오희준|이현정,1031496,윤준형,108.0,[10],그놈이다,20151028,천만 네티즌을 사로잡은 2004년 최강(^0^) | 내 입술 부빈 뇬... 책.임.져.,15세이상관람가,122,https://movie-phinf.pstatic.net/20111222_163/1324559848396wC4gx_JPEG/movie_image.jpg,"[168, 62, 27]"
56,마동석|조한선|김민경|지안|이정원|최선주|하태웅,252429,권형진,96.0,"[10, 12]",함정,20150910,"SNS의 확인되지 않은 그 곳, 어디까지 믿으십니까?",청소년관람불가,122,https://movie-phinf.pstatic.net/20150831_44/1440987148013oL7wO_JPEG/movie_image.jpg,"[31, 140, 141, 142]"
57,임창정|최다니엘|임은경|장광|이경영|문제영|정한비|박영진|임정아|박일우|정형석|조원재|서동수|서진원|이응준|안현준|최병모|방은희|반민정|한주영|전소니,339763,신동엽,103.0,[4],치외법권,20150827,"대한민국 1, 2위를 다투는 자타공인 또라이들이 만났다!",15세이상관람가,121,https://movie-phinf.pstatic.net/20150812_96/1439366478456HQL3c_JPEG/movie_image.jpg,"[143, 144, 7]"
58,강하늘|김소은|김정태|한혜린|박두식|이아현|서경배|임미라|임승현|전성혁|전소연|정윤선|권용진|이상헌|이슬아|이승민|이승현|이정철|김상혁|김영미|김욱|김유영|박선호|김재화|이동훈|박충선|주민하|이봄,479275,오인천,90.0,"[5, 0]",소녀괴담,20140702,모두가 알지만 아무도 말하지 않는 비밀…!,15세이상관람가,120,https://movie-phinf.pstatic.net/20140602_134/1401670128418TjOnM_JPEG/movie_image.jpg,"[178, 179]"
59,에릭 벌포|스카티 톰슨|토니 블랙|브리타니 다니엘|크리스탈 리드|닐 홉킨스|데이빗 제야스,856053,콜린 스트로즈|그렉 스트로즈,93.0,"[4, 10, 9]",스카이 라인,20101124,<아바타> <2012> 제작진의 초대형 블록버스터,12세이상관람가,120,https://movie-phinf.pstatic.net/20111223_229/13246270770373QcFh_JPEG/movie_image.jpg,"[240, 241]"
60,마동석|김새론|이상엽|진선규|장광|신세휘|오희준|배진아|이광기|이상훈|이태규|김지은|안성일|양기원|강민준|김다영|김대현|김동환|최정현|최혜진|김새벽|김송이|김수영,445625,임진순,99.0,"[4, 10]",동네사람들,20181107,,15세이상관람가,119,https://movie-phinf.pstatic.net/20181109_35/15417456367899cdGU_JPEG/movie_image.jpg,"[31, 32]"
61,진구|한혜진|임슬옹|배수빈|이경영|장광|천우희|이현걸|전종석|정광재|지성용|김병오|이상훈|이경영|정현진|이미도|조덕제|김의성|김도윤|김태준,2874554,조근현,135.0,"[4, 2]",26년,20121129,"1980년 5월.. 그리고 26년 후
학살의 주범 ‘그 사람’을 단죄하라!",15세이상관람가,119,https://movie-phinf.pstatic.net/20121105_88/1352083721604Kzds7_JPEG/movie_image.jpg,"[204, 205, 115, 11, 79]"
62,장동건|김민희|민성욱|박지연|백현익|최제헌|김경희|이재인|김민재|김성오|김원범|김준성|남연우|박병은|이동휘|주영호|전배수|장인섭|이영란|김희원|김소진|서현우,579242,이정범,116.0,"[4, 2]",우는 남자,20140604,그 날의 총알 한 발이 모든 것을 바꿔 놓았다.,청소년관람불가,118,https://movie-phinf.pstatic.net/20140520_296/1400550282991MwpAA_JPEG/movie_image.jpg,"[34, 180, 63]"
63,마일즈 텔러|케이트 마라|제이미 벨|마이클 B. 조던,392325,조쉬 트랭크,100.0,"[4, 6, 9]",판타스틱 4,20150820,"인류의 위협에 맞서, 새로운 하나가 된다!",12세이상관람가,118,https://movie-phinf.pstatic.net/20111222_53/13245256419987i6ug_JPEG/movie_image.jpg,"[145, 146, 148, 147]"
64,주이 디샤넬|존 레귀자모|마크 월버그,331961,M. 나이트 샤말란,90.0,"[9, 2, 5]",해프닝,20080612,인류를 위협하는 극한 상황 | 피할 수 없는 이상현상 당신은 살아남아야한다!,청소년관람불가,118,https://movie-phinf.pstatic.net/20111223_192/1324578083792Obf1M_JPEG/movie_image.jpg,"[308, 228, 98]"
65,정재영|김남길|엄지원|이수경|정가람|박인환|장세아|김지안,216254,이민재,111.0,"[7, 11]",기묘한 가족,20190213,"조용하고 평화로운 시골에 '기묘한 가족'이 살고 있었어요.
그리고 그 앞에 금쪽 같은 좀비가 나타났답니다.",12세이상관람가,117,https://movie-phinf.pstatic.net/20190213_142/1550020349326Pk2m3_JPEG/movie_image.jpg,"[15, 16, 17, 18, 19, 20]"
66,조니 뎁|히스 레저|콜린 파렐|주드 로|릴리 콜|크리스토퍼 플러머,440828,테리 길리엄,122.0,"[6, 8, 5]",파르나서스 박사의 상상극장,20091223,꿈과 환상이 펼쳐지는 비밀의 판타지 극장!,12세이상관람가,116,https://movie-phinf.pstatic.net/20111223_160/1324598280959LfKVD_JPEG/movie_image.jpg,"[162, 258, 259, 5, 261, 260]"
67,올리비아 문|보이드 홀브룩|트레반트 로즈|스털링 K. 브라운|제이콥 트렘블레이,169814,쉐인 블랙,107.0,"[9, 4, 10]",더 프레데터,20180912,,청소년관람불가,116,https://movie-phinf.pstatic.net/20180831_150/1535703792387FDnCB_JPEG/movie_image.jpg,"[40, 39, 42, 43]"
68,전도연|이정재|윤여정|서우|박지영|안서현|황정민|문소리|신재민|박지선|박지선|김지선|전신환,2230417,임상수,106.0,"[10, 18]",하녀,20100513,2010년 가장 격렬한 화제작 | 줬다 뺐는 건 나쁜 거잖아요?,청소년관람불가,116,https://movie-phinf.pstatic.net/20111223_213/1324612062528fkaOi_JPEG/movie_image.jpg,"[155, 252, 253, 254, 47]"
69,주진모|송승헌|김강우|조한선|최재원|홍의정|이신성|임형준|신창수|박현|한상현|류근형|이소희|김재형|김철준|양은혜|서태화|박진우|김해곤,1520332,송해성,124.0,"[2, 4]",무적자,20100916,형제란 이름으로 하나된 그들 | 삶도 죽음도 함께 한다!,15세이상관람가,115,https://movie-phinf.pstatic.net/20111223_4/1324622952437bs3AI_JPEG/movie_image.jpg,"[244, 138, 213, 140, 220]"
70,스티븐 스트레이트|카밀라 벨,1123077,롤랜드 에머리히,109.0,"[8, 2]","10,000 BC",20080313,세상은 거대한 태초의 세계로 돌아간다,15세이상관람가,115,https://movie-phinf.pstatic.net/20111222_63/1324495068744Q9v0X_JPEG/movie_image.jpg,"[310, 311]"
71,심형래|마이클 리스폴리|하비 케이틀|제이슨 미웨스|조셀린 도나휴|안소희,2512521,심형래,103.0,[7],라스트 갓파더,20101229,,12세이상관람가,115,https://movie-phinf.pstatic.net/20111223_99/1324630120059FA5J4_JPEG/movie_image.jpg,"[232, 234, 233, 235, 236]"
72,강예원|한채아|조재윤|김민교|김성은|남성진|동현배|남궁민|신영훈|심은주|유연수|윤석진|채환|최효정|한승환|한용환|이예림|이정민|이정민|김동철|김용진|김용훈|박성훈,146802,김덕수,117.0,"[7, 4]",비정규직 특수요원,20170316,"국가안보국, 외교부, 국방부, 법무부까지!
대한민국 최고기관들이 보이스피싱에 탈탈 털렸다",15세이상관람가,115,https://movie-phinf.pstatic.net/20170302_41/1488415864204vXyhe_JPEG/movie_image.jpg,"[105, 106, 69]"
73,이선균|전소니|박해준|송영창|박병은|김민재|남문철|정가람|이유영|권오상,254451,이정범,127.0,"[12, 2]",악질경찰,20190320,“나보다 더 나쁜 놈을 만났다”,청소년관람불가,115,https://movie-phinf.pstatic.net/20190312_100/1552354595583gzgz1_JPEG/movie_image.jpg,"[6, 7, 8, 214, 63, 19]"
74,조니 뎁|미쉘 파이퍼|에바 그린,578949,팀 버튼,112.0,"[2, 0, 10, 5]",다크 섀도우,20120510,"마녀를 잘못 건드린 바람둥이, 200년 후 뱀파이어로 깨어나다!",15세이상관람가,115,https://movie-phinf.pstatic.net/20120405_148/1333623250246flsaT_JPEG/movie_image.jpg,"[162, 210]"
75,송강호|김옥빈|신하균|김해숙|송영창|오달수|박인환|라미란|손종학|서동수|황우슬혜|조덕제|최희진|최종률,2199378,박찬욱,133.0,"[0, 2]",박쥐,20090430,"뱀파이어가 된 신부, 친구의 아내를 탐하다",청소년관람불가,114,https://movie-phinf.pstatic.net/20111223_205/132457019000969gj4_JPEG/movie_image.jpg,"[29, 286, 214, 20]"
76,김수로|오상철|강예원|이제훈|곽도원|김윤혜|양경모|임철형|임혁진|권성휘|장원욱|조인영|김남수|최상준|최정화|최홍선|박유영|함동진|함동진|현창조|김영준|이상희|이연희|김지예|이재덕|이주호|김현철|박경원|석상선|송대규|신유진|유혁준|김태훈|유순철|한제인|이병준|진용욱,935818,신정원,119.0,"[7, 0]",점쟁이들,20121003,"한국의 버뮤다 삼각지로 불리는 신들린 마을 ‘울진리’
수 십 년간 되풀이 되고 있는 미스터리 사건 해결을 위해 대한민국 최고의 ‘점쟁이들’이 모였다!",15세이상관람가,114,https://movie-phinf.pstatic.net/20120905_43/1346831328628AHewm_JPEG/movie_image.jpg,"[206, 105, 172, 108, 207, 208, 319]"
77,밀라 요보비치|미셸 로드리게즈|리빙빙|시에나 길로리|오데드 페르,550478,폴 W.S. 앤더슨,95.0,"[4, 0, 9, 10]",레지던트 이블 5 : 최후의 심판,20120913,"인류 구원의 마지막 퍼즐, 그녀가 모든 것을 끝낸다!",청소년관람불가,114,https://movie-phinf.pstatic.net/20120801_107/1343801540234VwCXf_JPEG/movie_image.jpg,"[209, 177]"
78,설경구|임시완|김희원|전혜진|이경영|김성오|허준호|박정주|박지호|박형우|임효은|정기욱|주현수|윤준희|최형욱|이미소|이시훈|이영호|이은비|이인규|이정우|이정호|김말구|문지윤,908271,변성현,119.0,"[12, 4, 2]",불한당: 나쁜 놈들의 세상,20170517,,청소년관람불가,114,https://movie-phinf.pstatic.net/20170517_137/1494988360843qAvzP_JPEG/movie_image.jpg,"[10, 104, 317]"
79,박진희|윤세아|김남진|김미경|김윤아|류정아|김현아|김유라|임정은|정예지|박정민|김은서|박소희|정재근|오진석|유지연|문가영|서영희|김학선|이은지|예수정|윤송아,1339066,김미정,118.0,"[5, 10]",궁녀,20071018,"살고 싶으면... 입 다물라 | 아는 것을 말하지 말고, 들은 것을 기억하지 말라!",청소년관람불가,113,https://movie-phinf.pstatic.net/20111222_245/1324557741051pUg2k_JPEG/movie_image.jpg,"[313, 314, 316, 117, 315]"
80,장동건|케이트 보스워스|제프리 러쉬|대니 휴스턴,430956,이승무,100.0,"[4, 6]",워리어스 웨이,20101201,어떤 적도 그를 이길 수 없다!,15세이상관람가,113,https://movie-phinf.pstatic.net/20111223_142/1324627425748qORPW_JPEG/movie_image.jpg,"[34, 238, 237, 239]"
81,김현수|노강민|진태현|최윤영|남보라|정은채|배수빈|나영희|임성민|김지영|김예원|조한철|유연석|김지원|이한상|정미남|진용욱,315775,민규동|홍지영|김곡|김선|임대웅|정범식,108.0,[0],무서운 이야기,20120725,,청소년관람불가,113,https://movie-phinf.pstatic.net/20160517_223/1463466235482mTgbp_JPEG/movie_image.jpg,[243]
82,제커리 리바이|애셔 앤젤|잭 딜런 그레이져|마크 스트롱,500650,데이비드 F. 샌드버그,131.0,[4],샤잠!,20190403,모든 히어로의 능력이 하나로 모였다!,12세이상관람가,112,https://movie-phinf.pstatic.net/20190322_198/1553220632606va06v_JPEG/movie_image.jpg,[1]
83,제이슨 스타뎀|리빙빙,515536,존 터틀타웁,113.0,"[4, 0, 9]",메가로돈,20180815,모든 것을 먹어 치운다!,12세이상관람가,111,https://movie-phinf.pstatic.net/20180710_245/1531211626893q4iLG_JPEG/movie_image.jpg,"[54, 177]"
84,정진영|장근석|신승환|오광록|고창석|심혜정|김경훈|이용재|송영창|김중기|최일화,523620,홍기선,99.0,"[12, 5, 10]",이태원 살인사건,20090910,미스터리 현장살인극 (이태원 살인사건) | 누가 거짓말 하고 있지...,15세이상관람가,111,https://movie-phinf.pstatic.net/20111223_295/1324590899428FXuGU_JPEG/movie_image.jpg,"[84, 266, 267, 268, 184, 214]"
85,브렌든 프레이저|마리아 벨로|이연걸,3998989,롭 코헨,111.0,"[4, 8, 6]",미이라 3:황제의 무덤,20080730,천년을 기다린 거대한 스펙터클이 깨어난다!,12세이상관람가,109,https://movie-phinf.pstatic.net/20120214_142/1329208584383JCgpS_JPEG/movie_image.jpg,"[301, 303, 302]"
86,강소백|장동건|김명민|박희순|이종석|임보라|박재웅|박준서|박준호|신수정|안세진|조청원|지성훈|최상재|최우진|이상민|이윤하|이주원|김대현|오대환,1364953,박훈정,127.0,"[12, 2]",브이아이피,20170823,,청소년관람불가,108,https://movie-phinf.pstatic.net/20170818_225/1503022966358iQcyu_JPEG/movie_image.jpg,"[34, 35, 90, 91]"
87,잭 블랙,1733666,롭 레터맨,87.0,"[7, 8]",걸리버 여행기,20110127,세상을 구원할 미친 존재감! 사이즈부터 거대한(?) 히어로가 왔다!,전체관람가,108,https://movie-phinf.pstatic.net/20111223_104/1324630839331T2B2t_JPEG/movie_image.jpg,[229]
88,공효진|류준열|조정석|염정아|전혜진|손석구|김기범,1821147,한준희,133.0,"[12, 4]",뺑반,20190130,"Hit and Run 상황 발생, 
순마 출동합니다!",15세이상관람가,108,https://movie-phinf.pstatic.net/20190115_40/15475402622236yHgr_JPEG/movie_image.jpg,"[21, 22, 23, 317]"
89,마크 월버그|안소니 홉킨스|로라 하드독|조쉬 더하멜,2607123,마이클 베이,150.0,"[4, 8, 9]",트랜스포머: 최후의 기사,20170621,"두 세상의 충돌, 하나만 살아남는다!",12세이상관람가,108,https://movie-phinf.pstatic.net/20170621_249/1498007195181fV5gR_JPEG/movie_image.jpg,"[98, 99, 100, 101]"
90,송강호|조정석|배두나|김소진|김대명|이희준|조우진|이성민|김홍파|김근영|강민석|강민수|김남우|김동환|김명희|김시원|김연주|김우진|김윤수|김정호|김주연|김주영|김주영|김준한|김준형|김지은|김형태|김혜진|김혜진|류대식|문상호|박미희|박선영|송원종|유승희|윤세현|이병희|이선민|이수정|이수현|이승진|이승찬|이시현|이영태|이영호|이은주|이재우|이재우|이주원|이지혜|이창훈|이현정|이호철|정재원|최준혁|한동희|한송희|한지혜,1787825,우민호,139.0,"[12, 2]",마약왕,20181219,"국가는 범죄자, 세상은 왕이라 불렀다",청소년관람불가,108,https://movie-phinf.pstatic.net/20181126_96/1543207321602QPWG8_JPEG/movie_image.jpg,"[29, 23, 30, 81, 48]"
91,위하준|박지현|오아연|문예원|박성훈|이승욱|유제윤|이주원|정아노마,2662377,정범식,94.0,"[0, 10]",곤지암,20180328,공포 체험의 성지 ‘곤지암 정신병원’,15세이상관람가,105,https://movie-phinf.pstatic.net/20180406_37/1522991036857QqP7N_JPEG/movie_image.jpg,"[65, 66, 67, 68, 69, 70, 71]"
92,정우성|김현빈|황정민|주지훈|곽도원|정만식|김원해|김종수|김해곤|윤지혜|오연아|윤제문|이종성|장근영|박지환|손영진|양영일|유정호|윤성민|이가경|이광기|이상민|채성원|김남조|노남석|박갑진,2577172,김성수,132.0,"[12, 4]",아수라,20160928,"지옥 같은 세상, 살아남기 위해 싸우는 악인들의 전쟁 <아수라>",청소년관람불가,105,https://movie-phinf.pstatic.net/20160819_21/1471568371621ENt4D_JPEG/movie_image.jpg,"[58, 47, 50, 108]"
93,마크 월버그|제시카 고메즈|니콜라 펠츠|잭 레이너|스탠리 투치|리빙빙,5286024,마이클 베이,164.0,"[4, 9, 8]",트랜스포머: 사라진 시대,20140625,트랜스포머의 시대는 끝났다!,12세이상관람가,105,https://movie-phinf.pstatic.net/20140530_75/1401415836092isDXh_JPEG/movie_image.jpg,"[98, 174, 175, 176, 177]"
94,헨리 카빌|에이미 아담스|러셀 크로우|케빈 코스트너,2174538,잭 스나이더,142.0,[9],맨 오브 스틸,20130613,"모든 대결에는 이유가 있다!
",12세이상관람가,105,https://movie-phinf.pstatic.net/20160318_192/1458281933154QBCXn_JPEG/movie_image.jpg,"[120, 122]"
95,헨리 카빌|벤 애플렉|에이미 아담스|로렌스 피쉬번|제시 아이젠버그|제레미 아이언스|홀리 헌터|갤 가돗,2240135,잭 스나이더,151.0,"[4, 8, 6]",배트맨 대 슈퍼맨: 저스티스의 시작,20160324,"모든 대결에는 이유가 있다!
",12세이상관람가,105,https://movie-phinf.pstatic.net/20160318_192/1458281933154QBCXn_JPEG/movie_image.jpg,"[120, 121, 122, 124, 125, 126, 127]"
96,강동원|김한나|고수|정은채|윤다경|최덕문|김수남|허명행|강민서|홍대성|홍대성|최장훈|김윤하|김한수|황상길|문용찬|이미경|채성원|유동헌|전상하|윤정빈|박아람|오정택|최윤석|김대현|김지원|이형훈|조덕제|류아벨|변희봉|김광규|김인권|김소진|이세랑,2111567,김민석,114.0,"[9, 2]",초능력자,20101110,세상이 멈췄다. 딱 한놈만 빼고...,15세이상관람가,104,https://movie-phinf.pstatic.net/20111223_179/1324626012857BRHBe_JPEG/movie_image.jpg,"[56, 242, 243, 36]"
97,하정우|강동원|최귀화|이성민|조진웅|마동석|윤지혜|정만식|김성균|김재영|주진모|이경영|신나라|정두홍|조남희|조현도|김광현|김병주|김영철|김지선|김태수|노남석|송영창|이경영|김병옥|주영호|한예리|김시은|김해숙|정대용|정재헌,4741281,윤종빈,137.0,"[16, 4]",군도: 민란의 시대,20140723,,15세이상관람가,103,https://movie-phinf.pstatic.net/20140627_105/1403832280951tgmxv_JPEG/movie_image.jpg,"[24, 56, 48, 49, 31, 80, 244, 214]"
98,정준호|최경원|정웅인|정운택|김상중|노승범|김홍식|홍광석|김형운|박용기|박유현|이상민|나현주|김범석|배경남|김병용|김대희|정구영|장현범|이지인|유준석|윤승남|박상민|정경훈|이승우|한고은|강성필|지대한|윤다경,1472418,김동원,121.0,"[7, 4, 12]",유감스러운 도시,20090122,품질보증! 웃음보장! 그들이 온다!,15세이상관람가,102,https://movie-phinf.pstatic.net/20111223_75/1324572603254Y8Dqn_JPEG/movie_image.jpg,"[293, 294, 295, 297, 296]"
99,브리 라슨|사무엘 L. 잭슨|벤 멘델슨|주드 로,5649943,애너 보든|라이언 플렉,123.0,"[4, 8, 9]",캡틴 마블,20190306,위기에 빠진 어벤져스의 희망!,12세이상관람가,102,https://movie-phinf.pstatic.net/20190225_72/1551069530582h2huX_JPEG/movie_image.jpg,"[2, 3, 4, 5]"
100,윌 스미스|자레드 레토|마고 로비|스콧 이스트우드|카라 델러비인|제이 코트니|조엘 킨나만|비올라 데이비스|제이 헤르난데즈|애덤 비치|카렌 후쿠하라|커먼|벤 애플렉,1882718,데이비드 에이어,122.0,[4],수어사이드 스쿼드,20160803,,15세이상관람가,102,https://movie-phinf.pstatic.net/20160722_13/14691653297397KnjG_JPEG/movie_image.jpg,"[110, 111, 112, 114, 121]"
101,손현주|문정희|전미선|장채린|김수안|김원해|노수산나|정준원|김근영|성유빈,5581942,허정,107.0,[10],숨바꼭질,20130814,,15세이상관람가,99,https://movie-phinf.pstatic.net/20130716_4/1373955914064wqez6_JPEG/movie_image.jpg,"[186, 187, 188, 95]"
102,다니엘 래드클리프|엠마 왓슨|루퍼트 그린트,2942578,데이빗 예이츠,153.0,"[8, 4, 11]",해리 포터와 혼혈 왕자,20090715,"진정한 판타지의 대장정, 마지막 전투를 준비하라",전체관람가,97,https://movie-phinf.pstatic.net/20111223_225/1324585869455atuMF_JPEG/movie_image.jpg,"[273, 274, 275]"
103,황정민|이성민|조진웅|주지훈|김대현|이경호|이기용|이동희|이상원|이상현|박현민|박혜영|김재희|이승찬|이승환|이승훈|이은영|김정현|이재우|이재혁|김정호|김종수|김지나|서주연|손승훈|이창석|이창훈|이희경|김지혜|김지홍|김진영|김현중|김형기|김형우|정재헌|박진수|박진영|강주석|정혜경|조현수|강민지|김다솜|김대현|김미혜|최운진|최정인|최지현|최희열|김소진|김수연|김은아|김승희|김영진|김영훈|김용석|김우영|김우현,4968325,윤종빈,137.0,[2],공작,20180808,"북으로 간 스파이, 암호명 흑금성",12세이상관람가,97,https://movie-phinf.pstatic.net/20180730_299/1532914028702Mgwti_JPEG/movie_image.jpg,"[47, 48, 49, 50]"
